"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"BoundaryCrossing","safety-plane","safety-trust-boundary","边界穿越事件","event","","0","unreviewed-v2-root","边界穿越","event","keep","safety-plane","safety-trust-boundary","边界穿越事件","event","","BoundaryCrossing-authorized_by-AuthorityScope","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","BoundaryCrossing-example-positive-001","BoundaryCrossing-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"DataZone","safety-plane","safety-trust-boundary","数据区","collection","","0","unreviewed-v2-root","数据区","collection","keep","safety-plane","safety-trust-boundary","数据区","collection","","BoundaryCrossing-has_source_zone-DataZone","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","DataZone-example-positive-001","DataZone-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ExternalBoundary","safety-plane","safety-trust-boundary","外部边界","specification","ExternalBoundary-is_a-TrustBoundary","1","","外部边界","specification","keep","safety-plane","safety-trust-boundary","外部边界","specification","ExternalBoundary-is_a-TrustBoundary","ExternalBoundary-is_a-TrustBoundary","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","ExternalBoundary-example-positive-001","ExternalBoundary-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InternalBoundary","safety-plane","safety-trust-boundary","内部边界","specification","InternalBoundary-is_a-TrustBoundary","1","","内部边界","specification","keep","safety-plane","safety-trust-boundary","内部边界","specification","InternalBoundary-is_a-TrustBoundary","InternalBoundary-is_a-TrustBoundary","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","InternalBoundary-example-positive-001","InternalBoundary-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"NetworkBoundary","safety-plane","safety-trust-boundary","网络边界","specification","NetworkBoundary-is_a-TrustBoundary","1","","网络边界","specification","keep","safety-plane","safety-trust-boundary","网络边界","specification","NetworkBoundary-is_a-TrustBoundary","NetworkBoundary-is_a-TrustBoundary","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","NetworkBoundary-example-positive-001","NetworkBoundary-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"RemoteAgentBoundary","safety-plane","safety-trust-boundary","远程智能体边界","specification","RemoteAgentBoundary-is_a-TrustBoundary","1","","远程智能体边界","specification","keep","safety-plane","safety-trust-boundary","远程智能体边界","specification","RemoteAgentBoundary-is_a-TrustBoundary","RemoteAgentBoundary-is_a-TrustBoundary","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","RemoteAgentBoundary-example-positive-001","RemoteAgentBoundary-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolBoundary","safety-plane","safety-trust-boundary","工具边界","specification","ToolBoundary-is_a-TrustBoundary","1","","工具边界","specification","keep","safety-plane","safety-trust-boundary","工具边界","specification","ToolBoundary-is_a-TrustBoundary","ToolBoundary-is_a-TrustBoundary","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-guardrails|eng-security-mcp-nsa-2026","ToolBoundary-example-positive-001","ToolBoundary-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TrustBoundary","safety-plane","safety-trust-boundary","信任边界","specification","","0","unreviewed-v2-root","信任边界","specification","keep","safety-plane","safety-trust-boundary","信任边界","specification","","","","","","","reviewed without relation replacement","信任边界与数据区按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|eng-security-mcp-nsa-2026","TrustBoundary-example-positive-001","TrustBoundary-example-boundary-001","moonweave-safety-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Candidate","tool-plane","tool-discovery-selection","候选记录","information","","0","unreviewed-v2-root","候选","information","keep","tool-plane","tool-discovery-selection","候选记录","information","","SelectionDecision-selects_candidate-Candidate","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","Candidate-example-positive-001","Candidate-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"CapabilityCandidate","tool-plane","tool-discovery-selection","能力候选","information","CapabilityCandidate-is_a-Candidate","1","","能力候选","information","keep","tool-plane","tool-discovery-selection","能力候选","information","CapabilityCandidate-is_a-Candidate","CapabilityCandidate-is_a-Candidate","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","CapabilityCandidate-example-positive-001","CapabilityCandidate-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"CapabilitySelectionDecision","tool-plane","tool-discovery-selection","能力选择决策","information","CapabilitySelectionDecision-is_a-SelectionDecision","1","","能力选择决策","information","keep","tool-plane","tool-discovery-selection","能力选择决策","information","CapabilitySelectionDecision-is_a-SelectionDecision","CapabilitySelectionDecision-is_a-SelectionDecision","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","CapabilitySelectionDecision-example-positive-001","CapabilitySelectionDecision-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"DiscoveryCandidateSet","tool-plane","tool-discovery-selection","发现候选集合","collection","","0","unreviewed-v2-root","发现候选","collection","keep","tool-plane","tool-discovery-selection","发现候选集合","collection","","","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","DiscoveryCandidateSet-example-positive-001","DiscoveryCandidateSet-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MatchAssessment","tool-plane","tool-discovery-selection","匹配评估","information","","0","unreviewed-v2-root","匹配评估","information","keep","tool-plane","tool-discovery-selection","匹配评估","information","","","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-mcp-spec|lit-mech-tool-use-evolution","MatchAssessment-example-positive-001","MatchAssessment-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"PromptCandidate","tool-plane","tool-discovery-selection","提示候选","information","PromptCandidate-is_a-Candidate","1","","提示候选","information","keep","tool-plane","tool-discovery-selection","提示候选","information","PromptCandidate-is_a-Candidate","PromptCandidate-is_a-Candidate","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","PromptCandidate-example-positive-001","PromptCandidate-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"PromptSelectionDecision","tool-plane","tool-discovery-selection","提示选择决策","information","PromptSelectionDecision-is_a-SelectionDecision","1","","提示选择决策","information","keep","tool-plane","tool-discovery-selection","提示选择决策","information","PromptSelectionDecision-is_a-SelectionDecision","PromptSelectionDecision-is_a-SelectionDecision","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","PromptSelectionDecision-example-positive-001","PromptSelectionDecision-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ResourceCandidate","tool-plane","tool-discovery-selection","资源候选","information","ResourceCandidate-is_a-Candidate","1","","资源候选","information","keep","tool-plane","tool-discovery-selection","资源候选","information","ResourceCandidate-is_a-Candidate","ResourceCandidate-is_a-Candidate","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ResourceCandidate-example-positive-001","ResourceCandidate-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ResourceSelectionDecision","tool-plane","tool-discovery-selection","资源选择决策","information","ResourceSelectionDecision-is_a-SelectionDecision","1","","资源选择决策","information","keep","tool-plane","tool-discovery-selection","资源选择决策","information","ResourceSelectionDecision-is_a-SelectionDecision","ResourceSelectionDecision-is_a-SelectionDecision","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ResourceSelectionDecision-example-positive-001","ResourceSelectionDecision-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SelectionDecision","tool-plane","tool-discovery-selection","选择决策","information","","0","unreviewed-v2-root","选择决策","information","keep","tool-plane","tool-discovery-selection","选择决策","information","","","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","SelectionDecision-example-positive-001","SelectionDecision-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolCandidate","tool-plane","tool-discovery-selection","工具候选","information","ToolCandidate-is_a-Candidate","1","","工具候选","information","keep","tool-plane","tool-discovery-selection","工具候选","information","ToolCandidate-is_a-Candidate","ToolCandidate-is_a-Candidate","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolCandidate-example-positive-001","ToolCandidate-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolCandidateSet","tool-plane","tool-discovery-selection","工具候选集","collection","ToolCandidateSet-is_a-DiscoveryCandidateSet","1","","工具候选","collection","keep","tool-plane","tool-discovery-selection","工具候选集","collection","ToolCandidateSet-is_a-DiscoveryCandidateSet","ToolCandidateSet-is_a-DiscoveryCandidateSet","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolCandidateSet-example-positive-001","ToolCandidateSet-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolDisambiguationPrompt","tool-plane","tool-discovery-selection","工具消歧提示","information","","0","unreviewed-v2-root","工具消歧提示","information","keep","tool-plane","tool-discovery-selection","工具消歧提示","information","","","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolDisambiguationPrompt-example-positive-001","ToolDisambiguationPrompt-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolEmbeddingMatch","tool-plane","tool-discovery-selection","工具嵌入匹配","information","ToolEmbeddingMatch-is_a-ToolMatch","2","","工具嵌入匹配","information","keep","tool-plane","tool-discovery-selection","工具嵌入匹配","information","ToolEmbeddingMatch-is_a-ToolMatch","ToolEmbeddingMatch-is_a-ToolMatch","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolEmbeddingMatch-example-positive-001","ToolEmbeddingMatch-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolFallback","tool-plane","tool-discovery-selection","工具回退","specification","","0","unreviewed-v2-root","工具回退","specification","keep","tool-plane","tool-discovery-selection","工具回退","specification","","","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolFallback-example-positive-001","ToolFallback-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolMatch","tool-plane","tool-discovery-selection","工具匹配评估","information","ToolMatch-is_a-MatchAssessment","1","","工具匹配评估","information","keep","tool-plane","tool-discovery-selection","工具匹配评估","information","ToolMatch-is_a-MatchAssessment","ToolMatch-is_a-MatchAssessment","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-mcp-spec|lit-mech-tool-use-evolution","ToolMatch-example-positive-001","ToolMatch-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolRegexMatch","tool-plane","tool-discovery-selection","工具正则匹配","information","ToolRegexMatch-is_a-ToolMatch","2","","工具正匹配","information","keep","tool-plane","tool-discovery-selection","工具正则匹配","information","ToolRegexMatch-is_a-ToolMatch","ToolRegexMatch-is_a-ToolMatch","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolRegexMatch-example-positive-001","ToolRegexMatch-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolSearch","tool-plane","tool-discovery-selection","工具检索","activity","ToolSearch-is_a-DiscoveryActivity","1","","工具检索","activity","keep","tool-plane","tool-discovery-selection","工具检索","activity","ToolSearch-is_a-DiscoveryActivity","","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|eng-proto-mcp-spec","ToolSearch-example-positive-001","ToolSearch-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolSearchQuery","tool-plane","tool-discovery-selection","工具检索查询","information","","0","unreviewed-v2-root","工具检索查询","information","keep","tool-plane","tool-discovery-selection","工具检索查询","information","","ToolDisambiguationPrompt-clarifies-ToolSearchQuery","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolSearchQuery-example-positive-001","ToolSearchQuery-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolSelectionDecision","tool-plane","tool-discovery-selection","工具选择决策","information","ToolSelectionDecision-is_a-SelectionDecision","1","","工具选择决策","information","keep","tool-plane","tool-discovery-selection","工具选择决策","information","ToolSelectionDecision-is_a-SelectionDecision","ToolSelectionDecision-is_a-SelectionDecision","","","","","reviewed without relation replacement","能力发现与选择按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolSelectionDecision-example-positive-001","ToolSelectionDecision-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"AgentAsToolInvocation","orchestration-plane","orchestration-actors-delegation","智能体作为工具调用","activity","AgentAsToolInvocation-is_a-DelegationProcess","1","","智能体工具调用","activity","move_owner","tool-plane","tool-invocation-execution","智能体工具调用","activity","AgentAsToolInvocation-is_a-ProgrammaticToolCall","AgentAsToolInvocation-is_a-ProgrammaticToolCall","","","","","owner/backbone updated in source","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","AgentAsToolInvocation-example-positive-001","AgentAsToolInvocation-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Command","tool-plane","tool-invocation-execution","命令","activity","Command-is_a-Invocation","1","","命令","activity","keep","tool-plane","tool-invocation-execution","命令","activity","Command-is_a-Invocation","Command-is_a-Invocation","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-osworld-site|lit-bench-terminal","Command-example-positive-001","Command-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ConditionalToolEnabled","tool-plane","tool-invocation-execution","条件性工具启用","specification","","0","unreviewed-v2-root","条性工具启用","specification","keep","tool-plane","tool-invocation-execution","条件性工具启用","specification","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ConditionalToolEnabled-example-positive-001","ConditionalToolEnabled-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ExecutionRequest","tool-plane","tool-invocation-execution","执行请求","specification","ExecutionRequest-is_a-InvocationSpecification","1","","执行请求","specification","deprecate","tool-plane","tool-invocation-execution","执行请求","specification","","","","","InvocationExecutionRequest","","deprecated references migrate to InvocationExecutionRequest","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-mcp-spec|lit-bench-terminal","","","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ExecutionResult","tool-plane","tool-invocation-execution","执行结果","information","ExecutionResult-is_a-InvocationResult","1","","执行","information","keep","tool-plane","tool-invocation-execution","执行结果","information","ExecutionResult-is_a-InvocationResult","ExecutionResult-is_a-InvocationResult","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-tracing|lit-bench-terminal","ExecutionResult-example-positive-001","ExecutionResult-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Invocation","tool-plane","tool-invocation-execution","调用活动","activity","","0","unreviewed-v2-root","调用","activity","keep","tool-plane","tool-invocation-execution","调用活动","activity","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-tracing|eng-proto-mcp-spec","Invocation-example-positive-001","Invocation-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InvocationAttempt","tool-plane","tool-invocation-execution","调用尝试","activity","","0","unreviewed-v2-root","调用尝试","activity","keep","tool-plane","tool-invocation-execution","调用尝试","activity","","Invocation-has_attempt-InvocationAttempt","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","InvocationAttempt-example-positive-001","InvocationAttempt-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InvocationDiagnostic","tool-plane","tool-invocation-execution","调用诊断","information","","0","unreviewed-v2-root","调用诊断","information","keep","tool-plane","tool-invocation-execution","调用诊断","information","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","InvocationDiagnostic-example-positive-001","InvocationDiagnostic-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InvocationEffect","tool-plane","tool-invocation-execution","调用效应","event","","0","unreviewed-v2-root","调用效应","event","keep","tool-plane","tool-invocation-execution","调用效应","event","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","InvocationEffect-example-positive-001","InvocationEffect-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InvocationExecutionRequest","","","","","","","","调用执行请求","information","add","tool-plane","tool-invocation-execution","调用执行请求","information","","","","","","","new reviewed concept; no v2 record to migrate","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","InvocationExecutionRequest-example-positive-001","InvocationExecutionRequest-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InvocationResult","tool-plane","tool-invocation-execution","调用返回记录","information","","0","unreviewed-v2-root","调用返回","information","keep","tool-plane","tool-invocation-execution","调用返回记录","information","","InvocationAttempt-produces-InvocationResult","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-tracing|eng-proto-mcp-spec","InvocationResult-example-positive-001","InvocationResult-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"InvocationSpecification","tool-plane","tool-invocation-execution","调用规范","specification","","0","unreviewed-v2-root","调用","specification","keep","tool-plane","tool-invocation-execution","调用规范","specification","","InvocationExecutionRequest-instantiates-InvocationSpecification","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","InvocationSpecification-example-positive-001","InvocationSpecification-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"PreExecutionSafetyCheck","tool-plane","tool-invocation-execution","执行前安全检查","activity","","0","unreviewed-v2-root","执行前安全检查","activity","keep","tool-plane","tool-invocation-execution","执行前安全检查","activity","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","PreExecutionSafetyCheck-example-positive-001","PreExecutionSafetyCheck-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ProgrammaticToolCall","tool-plane","tool-invocation-execution","程序化工具调用","activity","ProgrammaticToolCall-is_a-ToolCall","2","","程序化工具调用","activity","keep","tool-plane","tool-invocation-execution","程序化工具调用","activity","ProgrammaticToolCall-is_a-ToolCall","ProgrammaticToolCall-is_a-ToolCall","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-mcp-spec|lit-mech-tool-use-evolution","ProgrammaticToolCall-example-positive-001","ProgrammaticToolCall-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"PromptGetRequest","tool-plane","tool-invocation-execution","提示获取请求","activity","PromptGetRequest-is_a-Invocation","1","","提示获取请求","activity","keep","tool-plane","tool-invocation-execution","提示获取请求","activity","PromptGetRequest-is_a-Invocation","PromptGetRequest-is_a-Invocation","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","PromptGetRequest-example-positive-001","PromptGetRequest-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"PromptInstantiation","tool-plane","tool-invocation-execution","提示实例化","activity","","0","unreviewed-v2-root","提示实例化","activity","keep","tool-plane","tool-invocation-execution","提示实例化","activity","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","PromptInstantiation-example-positive-001","PromptInstantiation-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ResourceReadRequest","tool-plane","tool-invocation-execution","资源读取请求","activity","ResourceReadRequest-is_a-Invocation","1","","资源读取请求","activity","keep","tool-plane","tool-invocation-execution","资源读取请求","activity","ResourceReadRequest-is_a-Invocation","ResourceReadRequest-is_a-Invocation","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ResourceReadRequest-example-positive-001","ResourceReadRequest-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ResourceReadResult","tool-plane","tool-invocation-execution","资源读取结果","information","ResourceReadResult-is_a-InvocationResult","1","","资源读取","information","keep","tool-plane","tool-invocation-execution","资源读取结果","information","ResourceReadResult-is_a-InvocationResult","ResourceReadResult-is_a-InvocationResult","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ResourceReadResult-example-positive-001","ResourceReadResult-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ResourceSubscription","tool-plane","tool-invocation-execution","资源订阅","specification","","0","unreviewed-v2-root","资源订阅","specification","keep","tool-plane","tool-invocation-execution","资源订阅","specification","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ResourceSubscription-example-positive-001","ResourceSubscription-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ShellCommand","tool-plane","tool-invocation-execution","Shell 命令","activity","ShellCommand-is_a-Command","2","","Shell 命令","activity","keep","tool-plane","tool-invocation-execution","Shell 命令","activity","ShellCommand-is_a-Command","ShellCommand-is_a-Command","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","ShellCommand-example-positive-001","ShellCommand-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ToolApprovalGate","tool-plane","tool-invocation-execution","工具审批门","specification","","0","unreviewed-v2-root","工具审批门","specification","keep","tool-plane","tool-invocation-execution","工具审批门","specification","","","","","","","reviewed without relation replacement","调用与执行按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-python-docs|eng-proto-mcp-spec","ToolApprovalGate-example-positive-001","ToolApprovalGate-example-boundary-001","moonweave-tool-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
